age;class_worker;education;wage_per_hour;hs_college;marital_stat;major_ind_code;major_occ_code;race;hisp_origin;sex;union_member;unemp_reason;tax_filer_stat;region_prev_res;state_prev_res;det_hh_fam_stat;det_hh_summ;mig_same;num_emp;fam_under_18;country_father;country_mother;country_self;citizenship;own_or_self;weeks_worked;year;sampling_weight
65; State government; Doctorate degree(PhD EdD);0; Not in universe; Married-civilian spouse present; Education; Professional specialty; White; All other; Female; Not in universe; Not in universe; Joint both 65+; Not in universe; Not in universe; Spouse of householder; Spouse of householder; Yes;5; Not in universe; United-States; United-States; United-States; Native- Born in the United States;2;52;94;9091
82; Not in universe; Doctorate degree(PhD EdD);0; Not in universe; Married-civilian spouse present; Not in universe or children; Not in universe; White; All other; Male; Not in universe; Not in universe; Joint both 65+; Not in universe; Not in universe; Householder; Householder; Yes;0; Not in universe; United-States; United-States; United-States; Native- Born in the United States;0;0;94;9988
54; Private; Doctorate degree(PhD EdD);0; Not in universe; Married-civilian spouse present; Medical except hospital; Professional specialty; White; All other; Male; Not in universe; Not in universe; Joint both under 65; Not in universe; Not in universe; Householder; Householder; Yes;2; Not in universe; United-States; United-States; United-States; Native- Born in the United States;2;52;94;10073
49; State government; Doctorate degree(PhD EdD);0; Not in universe; Divorced; Education; Professional specialty; White; Mexican-American; Male; Not in universe; Not in universe; Head of household; Not in universe; Not in universe; Householder; Householder; Yes;5; Not in universe; United-States; United-States; United-States; Native- Born in the United States;0;52;94;10298
42; Private; Doctorate degree(PhD EdD);0; Not in universe; Married-civilian spouse present; Manufacturing-durable goods; Professional specialty; White; All other; Male; Not in universe; Not in universe; Joint both under 65; Not in universe; Not in universe; Householder; Householder; Yes;1; Not in universe; United-States; United-States; United-States; Native- Born in the United States;0;52;94;10695
51; State government; Doctorate degree(PhD EdD);0; Not in universe; Divorced; Education; Executive admin and managerial; White; All other; Female; Not in universe; Not in universe; Single; Not in universe; Not in universe; Nonfamily householder; Householder; Yes;2; Not in universe; United-States; Canada; United-States; Native- Born in the United States;0;52;94;10832
61; State government; Doctorate degree(PhD EdD);0; Not in universe; Married-civilian spouse present; Education; Professional specialty; White; All other; Male; Not in universe; Not in universe; Joint both under 65; Not in universe; Not in universe; Householder; Householder; Yes;6; Not in universe; ?; ?; ?; Foreign born- U S citizen by naturalization;0;52;94;10989
62; Self-employed-not incorporated; Doctorate degree(PhD EdD);0; Not in universe; Widowed; Personal services except private HH; Executive admin and managerial; White; All other; Female; Not in universe; Not in universe; Single; Not in universe; Not in universe; Nonfamily householder; Householder; Yes;1; Not in universe; United-States; United-States; United-States; Native- Born in the United States;0;52;94;11344
68; Private; Doctorate degree(PhD EdD);0; Not in universe; Married-civilian spouse present; Education; Professional specialty; White; All other; Male; Not in universe; Not in universe; Joint one under 65 & one 65+; Not in universe; Not in universe; Householder; Householder; Yes;4; Not in universe; Poland; Poland; United-States; Native- Born in the United States;0;38;94;11347
64; Not in universe; Doctorate degree(PhD EdD);0; Not in universe; Married-civilian spouse present; Not in universe or children; Not in universe; White; All other; Male; Not in universe; Not in universe; Joint one under 65 & one 65+; Not in universe; Not in universe; Householder; Householder; Yes;0; Not in universe; United-States; United-States; United-States; Native- Born in the United States;0;0;94;13002
45; Private; Doctorate degree(PhD EdD);0; Not in universe; Divorced; Manufacturing-nondurable goods; Professional specialty; White; All other; Male; Not in universe; Not in universe; Single; Not in universe; Not in universe; Nonfamily householder; Householder; Yes;6; Not in universe; United-States; United-States; United-States; Native- Born in the United States;0;52;94;13737
54; Not in universe; Doctorate degree(PhD EdD);0; Not in universe; Never married; Not in universe or children; Not in universe; White; All other; Female; Not in universe; Not in universe; Single; Not in universe; Not in universe; Nonfamily householder; Householder; Yes;0; Not in universe; ?; ?; ?; Foreign born- U S citizen by naturalization;0;0;94;13843
37; Self-employed-not incorporated; Doctorate degree(PhD EdD);0; Not in universe; Never married; Medical except hospital; Professional specialty; White; All other; Female; Not in universe; Not in universe; Single; Not in universe; Not in universe; Nonfamily householder; Householder; Yes;2; Not in universe; United-States; United-States; United-States; Native- Born in the United States;0;50;94;13997
33; Not in universe; Doctorate degree(PhD EdD);0; Not in universe; Never married; Not in universe or children; Not in universe; White; Central or South American; Female; Not in universe; Not in universe; Nonfiler; Not in universe; Not in universe; Child 18+ never marr Not in a subfamily; Child 18 or older; Yes;0; Not in universe; Nicaragua; Nicaragua; Nicaragua; Foreign born- Not a citizen of U S ;0;0;94;14134
59; Private; Doctorate degree(PhD EdD);0; Not in universe; Married-civilian spouse present; Education; Executive admin and managerial; White; All other; Male; Not in universe; Not in universe; Joint both under 65; Not in universe; Not in universe; Householder; Householder; Yes;4; Not in universe; United-States; United-States; United-States; Native- Born in the United States;0;52;94;14264
54; Self-employed-incorporated; Doctorate degree(PhD EdD);0; Not in universe; Married-civilian spouse present; Other professional services; Professional specialty; White; All other; Male; Not in universe; Not in universe; Joint both under 65; Not in universe; Not in universe; Householder; Householder; Yes;3; Not in universe; United-States; United-States; United-States; Native- Born in the United States;0;48;94;14965
56; State government; Doctorate degree(PhD EdD);0; Not in universe; Married-civilian spouse present; Public administration; Professional specialty; White; All other; Male; Not in universe; Not in universe; Joint both under 65; Not in universe; Not in universe; Householder; Householder; Yes;3; Not in universe; United-States; United-States; United-States; Native- Born in the United States;0;52;94;15548
59; Private; Doctorate degree(PhD EdD);0; Not in universe; Married-civilian spouse present; Manufacturing-nondurable goods; Professional specialty; White; All other; Male; No; Not in universe; Joint both under 65; Not in universe; Not in universe; Spouse of householder; Spouse of householder; Yes;6; Not in universe; ?; ?; United-States; Native- Born in the United States;0;52;94;15571
45; Private; Doctorate degree(PhD EdD);0; Not in universe; Married-civilian spouse present; Manufacturing-durable goods; Professional specialty; Asian or Pacific Islander; All other; Male; Not in universe; Not in universe; Joint both under 65; Not in universe; Not in universe; Spouse of householder; Spouse of householder; Yes;6; Not in universe; China; China; China; Foreign born- U S citizen by naturalization;0;52;94;16769
63; Not in universe; Doctorate degree(PhD EdD);0; Not in universe; Married-civilian spouse present; Not in universe or children; Not in universe; White; All other; Male; Not in universe; Not in universe; Joint one under 65 & one 65+; Not in universe; Not in universe; Householder; Householder; Yes;0; Not in universe; United-States; United-States; United-States; Native- Born in the United States;0;0;94;16841
49; Self-employed-not incorporated; Doctorate degree(PhD EdD);0; Not in universe; Married-civilian spouse present; Medical except hospital; Professional specialty; Asian or Pacific Islander; All other; Female; Not in universe; Not in universe; Joint both under 65; Not in universe; Not in universe; Spouse of householder; Spouse of householder; Yes;1; Not in universe; Philippines; Philippines; Philippines; Foreign born- U S citizen by naturalization;2;52;94;16897
49; Self-employed-not incorporated; Doctorate degree(PhD EdD);0; Not in universe; Married-civilian spouse present; Medical except hospital; Professional specialty; White; All other; Female; Not in universe; Not in universe; Joint both under 65; Not in universe; Not in universe; Spouse of householder; Spouse of householder; Yes;1; Not in universe; United-States; United-States; United-States; Native- Born in the United States;0;50;94;16903
56; Private; Doctorate degree(PhD EdD);0; Not in universe; Married-civilian spouse present; Manufacturing-durable goods; Professional specialty; White; All other; Male; No; Not in universe; Joint both under 65; Not in universe; Not in universe; Householder; Householder; Yes;1; Not in universe; ?; Poland; ?; Foreign born- U S citizen by naturalization;0;51;94;16903
37; Local government; Doctorate degree(PhD EdD);0; Not in universe; Divorced; Medical except hospital; Professional specialty; White; All other; Female; Not in universe; Not in universe; Single; Not in universe; Not in universe; Nonfamily householder; Householder; Yes;6; Not in universe; United-States; United-States; United-States; Native- Born in the United States;0;52;94;18372
38; State government; Doctorate degree(PhD EdD);0; Not in universe; Married-civilian spouse present; Education; Professional specialty; Asian or Pacific Islander; All other; Male; Not in universe; Not in universe; Joint both under 65; Not in universe; Not in universe; Householder; Householder; Yes;2; Not in universe; Taiwan; Taiwan; Taiwan; Foreign born- Not a citizen of U S ;0;52;94;18485
57; State government; Doctorate degree(PhD EdD);0; Not in universe; Divorced; Education; Professional specialty; White; All other; Female; Not in universe; Not in universe; Head of household; Not in universe; Not in universe; Householder; Householder; Yes;5; Not in universe; United-States; United-States; United-States; Native- Born in the United States;0;52;94;19282
58; State government; Doctorate degree(PhD EdD);0; Not in universe; Married-civilian spouse present; Education; Professional specialty; White; All other; Male; Not in universe; Not in universe; Joint both under 65; West; Alaska; Householder; Householder; No;6; Not in universe; Canada; United-States; United-States; Native- Born in the United States;0;52;94;19892
29; Private; Doctorate degree(PhD EdD);0; Not in universe; Divorced; Education; Professional specialty; White; All other; Female; No; Not in universe; Single; Not in universe; Not in universe; Nonfamily householder; Householder; Yes;6; Not in universe; United-States; United-States; United-States; Native- Born in the United States;2;52;94;19943
56; Self-employed-incorporated; Doctorate degree(PhD EdD);0; Not in universe; Married-civilian spouse present; Medical except hospital; Professional specialty; White; All other; Male; Not in universe; Not in universe; Joint both under 65; Not in universe; Not in universe; Householder; Householder; Yes;1; Not in universe; United-States; United-States; United-States; Native- Born in the United States;0;52;94;20048
41; Private; Doctorate degree(PhD EdD);0; Not in universe; Married-civilian spouse present; Medical except hospital; Professional specialty; White; All other; Male; No; Not in universe; Joint both under 65; Not in universe; Not in universe; Spouse of householder; Spouse of householder; Yes;6; Not in universe; ?; ?; ?; Foreign born- Not a citizen of U S ;0;52;94;20085
41; Private; Doctorate degree(PhD EdD);0; Not in universe; Married-civilian spouse present; Other professional services; Executive admin and managerial; White; All other; Female; No; Not in universe; Joint both under 65; Not in universe; Not in universe; Householder; Householder; Yes;3; Not in universe; United-States; United-States; United-States; Native- Born in the United States;0;52;94;20085
45; Private; Doctorate degree(PhD EdD);0; Not in universe; Married-civilian spouse present; Education; Executive admin and managerial; White; All other; Male; No; Not in universe; Joint both under 65; Northeast; North Carolina; Householder; Householder; No;1; Not in universe; United-States; United-States; United-States; Native- Born in the United States;2;52;94;20597
43; Private; Doctorate degree(PhD EdD);0; Not in universe; Married-civilian spouse present; Education; Professional specialty; White; All other; Female; No; Not in universe; Joint both under 65; Northeast; North Carolina; Spouse of householder; Spouse of householder; No;0; Not in universe; United-States; United-States; United-States; Native- Born in the United States;0;0;94;20597
29; Self-employed-incorporated; Doctorate degree(PhD EdD);0; Not in universe; Married-civilian spouse present; Medical except hospital; Professional specialty; White; All other; Male; Not in universe; Not in universe; Joint both under 65; Not in universe; Not in universe; Householder; Householder; Yes;1; Not in universe; United-States; United-States; United-States; Native- Born in the United States;0;50;94;21449
72; Private; Doctorate degree(PhD EdD);0; Not in universe; Never married; Other professional services; Professional specialty; White; All other; Male; Not in universe; Not in universe; Single; Not in universe; Not in universe; Nonfamily householder; Householder; Yes;6; Not in universe; Ireland; United-States; United-States; Native- Born in the United States;2;52;94;21716
38; State government; Doctorate degree(PhD EdD);0; Not in universe; Married-civilian spouse present; Education; Professional specialty; White; All other; Male; Not in universe; Not in universe; Joint both under 65; West; Alaska; Householder; Householder; No;5; Not in universe; Germany; United-States; United-States; Native- Born in the United States;0;52;94;22436
46; Private; Doctorate degree(PhD EdD);0; Not in universe; Divorced; Other professional services; Professional specialty; Asian or Pacific Islander; All other; Male; Not in universe; Not in universe; Single; West; Alaska; Nonfamily householder; Householder; No;6; Not in universe; India; India; India; Foreign born- U S citizen by naturalization;0;52;94;24689
42; Self-employed-not incorporated; Doctorate degree(PhD EdD);0; Not in universe; Married-civilian spouse present; Other professional services; Professional specialty; White; All other; Male; Not in universe; Not in universe; Joint both under 65; West; Alaska; Householder; Householder; No;1; Not in universe; United-States; United-States; United-States; Native- Born in the United States;0;52;94;24956
36; State government; Doctorate degree(PhD EdD);0; Not in universe; Married-civilian spouse present; Education; Professional specialty; Asian or Pacific Islander; All other; Male; No; Not in universe; Joint both under 65; Not in universe; Not in universe; Householder; Householder; Yes;2; Not in universe; China; China; China; Foreign born- Not a citizen of U S ;0;52;94;25834
47; State government; Doctorate degree(PhD EdD);0; Not in universe; Married-civilian spouse present; Education; Professional specialty; Asian or Pacific Islander; All other; Male; Not in universe; Other job loser; Joint both under 65; Not in universe; Not in universe; Householder; Householder; Yes;2; Not in universe; India; India; India; Foreign born- U S citizen by naturalization;0;52;94;25834
44; State government; Doctorate degree(PhD EdD);0; Not in universe; Divorced; Education; Professional specialty; White; All other; Female; Not in universe; Not in universe; Single; Not in universe; Not in universe; Nonfamily householder; Householder; Yes;5; Not in universe; United-States; United-States; United-States; Native- Born in the United States;2;52;94;26581
33; State government; Doctorate degree(PhD EdD);0; Not in universe; Married-civilian spouse present; Education; Professional specialty; White; All other; Female; Not in universe; Not in universe; Joint both under 65; Not in universe; Not in universe; Spouse of householder; Spouse of householder; Yes;6; Not in universe; United-States; United-States; United-States; Native- Born in the United States;2;52;94;27198
33; State government; Doctorate degree(PhD EdD);0; Not in universe; Married-civilian spouse present; Education; Professional specialty; White; All other; Male; Not in universe; Not in universe; Joint both under 65; Not in universe; Not in universe; Householder; Householder; Yes;6; Not in universe; United-States; United-States; United-States; Native- Born in the United States;0;52;94;27198
46; State government; Doctorate degree(PhD EdD);0; Not in universe; Married-civilian spouse present; Public administration; Professional specialty; White; All other; Male; No; Not in universe; Joint both under 65; Not in universe; Not in universe; Householder; Householder; Yes;2; Not in universe; United-States; United-States; United-States; Native- Born in the United States;0;52;94;27912
38; State government; Doctorate degree(PhD EdD);0; Not in universe; Married-civilian spouse present; Education; Professional specialty; White; All other; Female; Not in universe; Not in universe; Joint both under 65; Not in universe; Not in universe; Spouse of householder; Spouse of householder; Yes;6; Not in universe; United-States; United-States; United-States; Native- Born in the United States;2;46;94;28166
39; Private; Doctorate degree(PhD EdD);0; Not in universe; Married-civilian spouse present; Manufacturing-durable goods; Executive admin and managerial; White; All other; Male; Not in universe; Not in universe; Joint both under 65; Not in universe; Not in universe; Householder; Householder; Yes;6; Not in universe; United-States; United-States; United-States; Native- Born in the United States;0;52;94;28166
71; Not in universe; Doctorate degree(PhD EdD);0; Not in universe; Married-civilian spouse present; Not in universe or children; Not in universe; White; All other; Male; Not in universe; Not in universe; Joint both 65+; Not in universe; Not in universe; Householder; Householder; Yes;0; Not in universe; United-States; United-States; United-States; Native- Born in the United States;0;0;94;28551
33; State government; Doctorate degree(PhD EdD);0; Not in universe; Married-civilian spouse present; Education; Professional specialty; Asian or Pacific Islander; All other; Male; No; Not in universe; Joint both under 65; Not in universe; Not in universe; Householder; Householder; Yes;2; Not in universe; ?; ?; ?; Foreign born- Not a citizen of U S ;0;52;94;28793
80; Not in universe; Doctorate degree(PhD EdD);0; Not in universe; Never married; Not in universe or children; Not in universe; White; All other; Male; Not in universe; Not in universe; Single; Not in universe; Not in universe; Nonfamily householder; Householder; Yes;0; Not in universe; United-States; United-States; United-States; Native- Born in the United States;0;0;94;29198
55; Not in universe; Doctorate degree(PhD EdD);0; Not in universe; Never married; Not in universe or children; Not in universe; Black; All other; Male; Not in universe; Not in universe; Single; West; California; Nonfamily householder; Householder; No;0; Not in universe; United-States; United-States; United-States; Native- Born in the United States;0;0;94;29465
34; State government; Doctorate degree(PhD EdD);0; Not in universe; Married-civilian spouse present; Education; Professional specialty; White; All other; Male; Not in universe; Not in universe; Joint both under 65; Not in universe; Not in universe; Householder; Householder; Yes;5; Not in universe; Germany; Germany; Germany; Foreign born- Not a citizen of U S ;0;52;94;30792
40; Private; Doctorate degree(PhD EdD);0; Not in universe; Married-civilian spouse present; Manufacturing-nondurable goods; Professional specialty; White; All other; Male; No; Not in universe; Joint both under 65; Not in universe; Not in universe; Householder; Householder; Yes;4; Not in universe; United-States; United-States; United-States; Native- Born in the United States;0;52;94;30957
52; Local government; Doctorate degree(PhD EdD);0; Not in universe; Married-civilian spouse present; Education; Executive admin and managerial; White; All other; Male; Not in universe; Not in universe; Joint both under 65; Midwest; Ohio; Householder; Householder; No;5; Not in universe; United-States; United-States; United-States; Native- Born in the United States;2;52;94;31348
42; Private; Doctorate degree(PhD EdD);0; Not in universe; Never married; Other professional services; Professional specialty; White; All other; Male; Not in universe; Not in universe; Single; Not in universe; Not in universe; Nonfamily householder; Householder; Yes;4; Not in universe; United-States; United-States; United-States; Native- Born in the United States;0;52;94;32582
35; State government; Doctorate degree(PhD EdD);0; Not in universe; Never married; Education; Professional specialty; White; All other; Male; Not in universe; Other job loser; Single; Not in universe; Not in universe; Nonfamily householder; Householder; Yes;2; Not in universe; United-States; United-States; United-States; Native- Born in the United States;0;36;94;35291
43; Self-employed-incorporated; Doctorate degree(PhD EdD);0; Not in universe; Married-civilian spouse present; Agriculture; Professional specialty; White; All other; Female; Not in universe; Not in universe; Joint both under 65; Not in universe; Not in universe; Householder; Householder; Yes;2; Not in universe; United-States; United-States; United-States; Native- Born in the United States;0;52;94;35579
55; Local government; Doctorate degree(PhD EdD);0; Not in universe; Never married; Education; Professional specialty; White; All other; Female; Yes; Not in universe; Single; Not in universe; Not in universe; Nonfamily householder; Householder; Yes;6; Not in universe; United-States; United-States; United-States; Native- Born in the United States;2;52;94;36283
38; Not in universe; Doctorate degree(PhD EdD);0; Not in universe; Married-civilian spouse present; Not in universe or children; Not in universe; Other; All other; Male; Not in universe; Not in universe; Joint both under 65; Abroad; Abroad; Spouse of householder; Spouse of householder; No;2; Not in universe; China; China; China; Foreign born- Not a citizen of U S ;0;50;94;36791
32; Private; Doctorate degree(PhD EdD);0; Not in universe; Married-civilian spouse present; Hospital services; Professional specialty; White; All other; Male; Not in universe; Not in universe; Joint both under 65; Not in universe; Not in universe; Householder; Householder; Yes;6; Not in universe; United-States; United-States; United-States; Native- Born in the United States;0;52;94;37621
67; Self-employed-not incorporated; Doctorate degree(PhD EdD);0; Not in universe; Married-civilian spouse present; Retail trade; Sales; White; Other Spanish; Male; Not in universe; Not in universe; Joint both 65+; Not in universe; Not in universe; Householder; Householder; Yes;1; Not in universe; United-States; United-States; United-States; Native- Born in the United States;0;52;94;37639
29; Private; Doctorate degree(PhD EdD);1800; Not in universe; Married-civilian spouse present; Agriculture; Professional specialty; White; All other; Female; No; Not in universe; Joint both under 65; Not in universe; Not in universe; Spouse of householder; Spouse of householder; Yes;2; Not in universe; United-States; United-States; United-States; Native- Born in the United States;2;52;94;38395
29; Private; Doctorate degree(PhD EdD);0; Not in universe; Never married; Other professional services; Professional specialty; White; All other; Male; Not in universe; Not in universe; Single; West; Abroad; Nonfamily householder; Householder; No;1; Not in universe; United-States; United-States; Canada; Native- Born abroad of American Parent(s);0;52;94;38457
54; Private; Doctorate degree(PhD EdD);0; Not in universe; Married-civilian spouse present; Education; Professional specialty; White; All other; Male; Not in universe; Not in universe; Joint both under 65; Not in universe; Not in universe; Spouse of householder; Spouse of householder; Yes;6; Not in universe; United-States; United-States; United-States; Native- Born in the United States;0;52;94;38677
67; Not in universe; Doctorate degree(PhD EdD);0; Not in universe; Married-civilian spouse present; Not in universe or children; Not in universe; White; All other; Male; Not in universe; Not in universe; Joint both 65+; Not in universe; Not in universe; Householder; Householder; Yes;2; Not in universe; United-States; United-States; United-States; Native- Born in the United States;0;7;94;40114
33; Private; Doctorate degree(PhD EdD);0; Not in universe; Married-civilian spouse present; Education; Professional specialty; White; All other; Male; No; Not in universe; Joint both under 65; Northeast; Virginia; Householder; Householder; No;6; Not in universe; ?; ?; ?; Foreign born- Not a citizen of U S ;0;52;94;40362
63; Federal government; Doctorate degree(PhD EdD);0; Not in universe; Divorced; Public administration; Executive admin and managerial; White; All other; Female; Not in universe; Not in universe; Single; Not in universe; Not in universe; Nonfamily householder; Householder; Yes;6; Not in universe; United-States; United-States; United-States; Native- Born in the United States;0;52;94;40588
48; Federal government; Doctorate degree(PhD EdD);0; Not in universe; Married-civilian spouse present; Other professional services; Professional specialty; White; All other; Female; No; Not in universe; Joint both under 65; Not in universe; Not in universe; Householder; Householder; Yes;6; Not in universe; United-States; United-States; United-States; Native- Born in the United States;0;52;94;41293
49; Self-employed-not incorporated; Doctorate degree(PhD EdD);0; Not in universe; Never married; Other professional services; Professional specialty; White; All other; Male; Not in universe; Not in universe; Single; Not in universe; Not in universe; Nonfamily householder; Householder; Yes;1; Not in universe; United-States; United-States; United-States; Native- Born in the United States;0;52;94;42521
42; Private; Doctorate degree(PhD EdD);0; Not in universe; Married-spouse absent; Retail trade; Other service; White; All other; Male; No; Not in universe; Single; Not in universe; Not in universe; Nonfamily householder; Householder; Yes;6; Not in universe; ?; ?; ?; Foreign born- Not a citizen of U S ;0;52;94;42999
40; Self-employed-incorporated; Doctorate degree(PhD EdD);0; Not in universe; Never married; Other professional services; Professional specialty; White; All other; Male; Not in universe; Not in universe; Single; Not in universe; Not in universe; Nonfamily householder; Householder; Yes;1; Not in universe; United-States; United-States; United-States; Native- Born in the United States;0;52;94;42999
53; Private; Doctorate degree(PhD EdD);0; Not in universe; Divorced; Education; Professional specialty; White; All other; Male; Not in universe; Not in universe; Single; Not in universe; Not in universe; Secondary individual; Nonrelative of householder; Yes;6; Not in universe; United-States; United-States; United-States; Native- Born in the United States;0;46;94;44641
41; Self-employed-not incorporated; Doctorate degree(PhD EdD);0; Not in universe; Never married; Other professional services; Professional specialty; White; All other; Male; Not in universe; Not in universe; Single; Not in universe; Not in universe; Nonfamily householder; Householder; Yes;1; Not in universe; United-States; United-States; United-States; Native- Born in the United States;0;52;94;45368
51; Self-employed-not incorporated; Doctorate degree(PhD EdD);0; Not in universe; Divorced; Finance insurance and real estate; Sales; White; All other; Male; Not in universe; Not in universe; Single; Northeast; Virginia; Nonfamily householder; Householder; No;1; Not in universe; United-States; United-States; United-States; Native- Born in the United States;0;52;94;45785
46; Federal government; Doctorate degree(PhD EdD);0; Not in universe; Never married; Education; Professional specialty; White; All other; Female; Not in universe; Not in universe; Single; South; District of Columbia; Nonfamily householder; Householder; No;6; Not in universe; United-States; United-States; United-States; Native- Born in the United States;0;52;94;46006
33; Private; Doctorate degree(PhD EdD);0; Not in universe; Married-civilian spouse present; Medical except hospital; Professional specialty; White; All other; Female; Not in universe; Not in universe; Joint both under 65; Midwest; Kentucky; Spouse of householder; Spouse of householder; No;4; Not in universe; United-States; United-States; United-States; Native- Born in the United States;2;52;94;46054
37; Private; Doctorate degree(PhD EdD);0; Not in universe; Married-civilian spouse present; Hospital services; Professional specialty; White; All other; Male; Not in universe; Not in universe; Joint both under 65; Midwest; Kentucky; Householder; Householder; No;4; Not in universe; United-States; United-States; France; Native- Born abroad of American Parent(s);0;52;94;46054
53; Private; Doctorate degree(PhD EdD);0; Not in universe; Married-civilian spouse present; Other professional services; Executive admin and managerial; White; All other; Male; Not in universe; Not in universe; Joint both under 65; Not in universe; Not in universe; Spouse of householder; Spouse of householder; Yes;6; Not in universe; United-States; United-States; United-States; Native- Born in the United States;0;52;94;47095
53; State government; Doctorate degree(PhD EdD);0; Not in universe; Married-civilian spouse present; Education; Professional specialty; White; All other; Male; No; Not in universe; Joint both under 65; Not in universe; Not in universe; Householder; Householder; Yes;2; Not in universe; United-States; United-States; United-States; Native- Born in the United States;0;52;94;47637
43; Private; Doctorate degree(PhD EdD);0; Not in universe; Married-civilian spouse present; Manufacturing-nondurable goods; Professional specialty; White; All other; Male; Not in universe; Other job loser; Joint both under 65; Not in universe; Not in universe; Spouse of householder; Spouse of householder; Yes;6; Not in universe; United-States; United-States; United-States; Native- Born in the United States;0;52;94;48023
40; Private; Doctorate degree(PhD EdD);0; Not in universe; Married-civilian spouse present; Manufacturing-nondurable goods; Professional specialty; White; All other; Female; Not in universe; Not in universe; Joint both under 65; Not in universe; Not in universe; Householder; Householder; Yes;6; Not in universe; United-States; United-States; United-States; Native- Born in the United States;0;52;94;48023
54; Not in universe; Doctorate degree(PhD EdD);0; Not in universe; Never married; Not in universe or children; Not in universe; White; All other; Male; Not in universe; Not in universe; Nonfiler; Not in universe; Not in universe; Child 18+ never marr Not in a subfamily; Child 18 or older; Yes;0; Not in universe; Germany; United-States; Peru; Native- Born abroad of American Parent(s);0;0;94;48036
58; Private; Doctorate degree(PhD EdD);0; Not in universe; Married-civilian spouse present; Education; Professional specialty; Black; All other; Female; Not in universe; Not in universe; Joint both under 65; Not in universe; Not in universe; Spouse of householder; Spouse of householder; Yes;6; Not in universe; United-States; United-States; United-States; Native- Born in the United States;0;52;94;49127
